fiscal_quarter,quarter_end_date,fiscal_year,business_unit,segment,metric,value,unit,reporting_basis,source_type,source_url
Q2 FY26,2026-04-30,FY26,Consumer PS,Personal Systems,units_yoy_pct,-8,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Second-Quarter-Results/default.aspx
Q2 FY26,2026-04-30,FY26,Commercial PS,Personal Systems,units_yoy_pct,-7,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Second-Quarter-Results/default.aspx
Q2 FY26,2026-04-30,FY26,Printing,Printing,units_yoy_pct,-7,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Second-Quarter-Results/default.aspx
Q2 FY26,2026-04-30,FY26,Consumer Printing,Printing,units_yoy_pct,-8,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Second-Quarter-Results/default.aspx
Q2 FY26,2026-04-30,FY26,Commercial Printing,Printing,units_yoy_pct,-4,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Second-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Personal Systems,Personal Systems,units_yoy_pct,-16,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Consumer PS,Personal Systems,units_yoy_pct,-19,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Commercial PS,Personal Systems,units_yoy_pct,-14,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Printing,Printing,units_yoy_pct,-7,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Consumer Printing,Printing,units_yoy_pct,-9,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Commercial Printing,Printing,units_yoy_pct,-2,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
Q1 FY26,2026-01-31,FY26,Personal Systems,Personal Systems,yoy_growth_pct,11,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY26,2026-01-31,FY26,Printing,Printing,yoy_growth_pct,-2,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY26,2026-04-30,FY26,Personal Systems,Personal Systems,yoy_growth_pct,13,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Second-Quarter-Results/default.aspx
Q2 FY26,2026-04-30,FY26,Printing,Printing,yoy_growth_pct,0,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Second-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Personal Systems,Personal Systems,yoy_growth_pct,18,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
Q3 FY26,2026-07-31,FY26,Printing,Printing,yoy_growth_pct,-2,percent,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-Third-Quarter-Results/default.aspx
